100,4,Titans,Bulldogs,Panthers
13,5,1.8,19.4,0
12,9,1.2,25,1
1,10,2.6,22.3,1
2,14,5.3,26.8,2
0,11,2.5,21.3,0
8,4,2.1,20.5,0
13,3,2.1,19.2,1
6,7,1.5,21.1,2
5,15,1.3,23,0
4,1,1.5,20.4,1
10,8,1.3,25.2,2
14,12,1.5,21.1,1
0,13,2.8,23.1,0
7,5,2.6,22.2,1
11,2,1.5,19.8,1
6,3,1.7,20,0
15,9,1.5,21.1,2
7,14,2.8,21.6,2
1,6,2.6,19.9,1
10,11,1.3,21.7,1
15,4,1.7,18.9,2
3,8,1.3,24.3,1
13,2,1.2,24.9,2
9,0,1.5,20.8,1
12,5,1.9,19.2,2
13,10,1.5,18.3,0
7,15,1.6,19.7,1
2,4,2.6,19.9,2
9,1,1.5,20.4,0
0,3,3.1,23.2,2
5,14,1.9,18.8,1
6,8,1.3,23.4,2
11,12,2.1,19.7,1
3,7,1.5,19.2,1
10,9,1.3,22.1,2
14,11,1.2,23.4,1
2,0,1.7,19.1,1
4,6,1.4,20.1,0
5,13,2.1,18.8,0
8,15,2,18.9,2
1,12,3.7,21.8,2
14,4,1.6,20.2,0
0,6,2.3,19.9,2
13,7,1.3,23.6,2
5,2,1.2,23.4,1
9,3,2.5,18.6,1
1,15,3,19.8,0
11,8,1.5,19.8,0
12,10,1.7,19.5,0
9,14,2.7,19.7,1
6,13,2.6,19.8,1
11,4,2.4,19.6,2
15,5,3.4,23.5,1
8,0,1.8,19.8,1
12,3,1.8,18.1,0
10,7,1.5,19.2,1
2,1,1.6,19.2,0
0,14,2.1,19.7,2
4,15,1.4,20.8,0
12,6,1.6,20.2,0
7,11,1.6,20.1,2
9,13,2.1,19.7,0
1,5,4.1,23.6,0
8,2,2.1,19.9,2
3,10,2.6,19.5,2
0,12,2.2,19.3,2
1,7,2.9,19.2,2
3,6,2.7,19.2,1
13,4,1.6,19.5,1
5,11,1.3,23.7,2
15,0,1.5,20,2
12,7,1.7,18.9,0
8,1,1.5,20.1,1
3,9,1.4,21.7,2
14,13,2.3,19.3,0
6,10,1.8,19.2,2
4,2,1.3,23.7,1
15,7,2,18,1
8,13,3.9,22.4,0
10,12,1.6,19.4,2
4,9,1.3,22,0
1,0,1.6,19.8,0
14,3,1.8,19.2,0
11,6,2.1,19,2
2,5,4,23.9,2
1,4,3.2,20.6,0
13,12,1.5,20.8,2
10,15,1.5,19.8,1
2,11,2.9,20.7,1
8,14,3.3,23.4,2
9,6,2.2,19.9,2
0,5,2.5,22.8,2
7,3,2,19.7,1
14,15,2.1,19.5,1
2,8,1.5,19.7,1
5,10,2.5,18.6,2
9,11,1.7,18.5,1
15,1,1.6,19,2
8,10,2.6,20.7,2
3,4,2.1,19.3,1
